iter	Passed	Remaining
651	4733	2526
652	4740	2519
653	4747	2511
654	4754	2504
655	4760	2496
656	4767	2488
657	4774	2481
658	4780	2473
659	4787	2466
660	4794	2458
661	4800	2451
662	4807	2443
663	4814	2436
664	4821	2428
665	4827	2421
666	4834	2413
667	4841	2406
668	4847	2398
669	4854	2391
670	4861	2383
671	4869	2376
672	4876	2369
673	4882	2361
674	4889	2354
675	4896	2346
676	4903	2339
677	4909	2331
678	4916	2324
679	4923	2317
680	4930	2309
681	4937	2302
682	4944	2294
683	4950	2287
684	4957	2279
685	4964	2272
686	4970	2264
687	4977	2257
688	4984	2249
689	4991	2242
690	4997	2234
691	5004	2227
692	5011	2220
693	5018	2212
694	5024	2205
695	5032	2197
696	5039	2190
697	5046	2183
698	5053	2176
699	5060	2168
700	5066	2161
701	5073	2153
702	5080	2146
703	5087	2138
704	5097	2132
705	5104	2125
706	5111	2118
707	5118	2111
708	5126	2104
709	5133	2096
710	5140	2089
711	5146	2081
712	5153	2074
713	5160	2067
714	5167	2059
715	5173	2052
716	5180	2044
717	5187	2037
718	5194	2029
719	5200	2022
720	5207	2015
721	5214	2007
722	5221	2000
723	5227	1992
724	5234	1985
725	5241	1978
726	5248	1970
727	5254	1963
728	5261	1955
729	5268	1948
730	5275	1941
731	5281	1933
732	5288	1926
733	5295	1919
734	5302	1911
735	5308	1904
736	5315	1896
737	5322	1889
738	5328	1882
739	5335	1874
740	5342	1867
741	5349	1859
742	5357	1853
743	5371	1848
744	5383	1842
745	5390	1835
746	5397	1827
747	5403	1820
748	5410	1813
749	5417	1805
750	5424	1798
751	5430	1791
752	5437	1783
753	5444	1776
754	5451	1768
755	5457	1761
756	5464	1754
757	5471	1746
758	5479	1739
759	5486	1732
760	5493	1725
761	5501	1718
762	5507	1710
763	5515	1703
764	5522	1696
765	5529	1689
766	5536	1681
767	5543	1674
768	5550	1667
769	5556	1659
770	5563	1652
771	5570	1645
772	5577	1637
773	5584	1630
774	5590	1623
775	5597	1615
776	5604	1608
777	5611	1601
778	5618	1593
779	5624	1586
780	5631	1579
781	5638	1571
782	5645	1564
783	5652	1557
784	5658	1549
785	5665	1542
786	5672	1535
787	5678	1527
788	5685	1520
789	5692	1513
790	5700	1506
791	5707	1498
792	5714	1491
793	5720	1484
